Word,PonderadoApilado,Similares
audiencia,9.239999999999998,"['centro audiencia', 'cócteles audiencia']"
programa,9.120000000000001,"['programan', 'programa presupuestal', 'programa en nueva jersey']"
reunión,9.090000000000002,['reunión maduro-castillo']
cambio,8.98,"['cambios', 'cambio de canal', 'cambio de estación', 'el tipo de cambio']"
hija,8.87,['el video de su hija']
mira,8.83,"['mira en vivo', 'campo de marte mira', 'lxii mira', 'tv pública mira']"
gas,8.74,['queremos que nuestro gas']
dinámicos,8.69,"['dinámicos del centro', 'los dinámicos del centro', 'dinámico', 'ministerio público dinámicos del centro', 'los dinámicos del centro  al vuel']"
la palma,8.67,"['palma', 'cumbre vieja de la palma', 'la palma españa']"
mundo,8.62,"['bbc mundo', 'mundo de la mula']"
bono,8.61,"['bono yanapay', 'bono familiar habitacional', 'bono niños 2021 cómo', 'bono techo propio 2021 link cómo', 'bono 350 beneficiarios', 'bono yanapay beneficiarios', 'link bono']"
señor de los milagros,8.58,"['señor', 'milagros', 'el señor de los milagros']"
volcán,8.41,['volcán cumbre vieja']
joven,8.28,"['la joven activista', 'el joven']"
proceso,8.21,"['proceso de regulación de los sistemas secundarios de transmisión', 'el proceso']"
edición,8.16,"['edición matinal', 'medición', 'edición especial blended']"
precio,8.110000000000001,"['precios', 'xiaomi pad 5 precio', 'preciso']"
historia,8.03,"['la lista de los 10 máximos asistidores en la historia de la champions', 'historial', 'la historia de la acrobacia']"
fm,7.92,['radio exitosa 955 fm  exitosa']
balón de oro,7.85,"['balón', 'oro', 'balón de oro france football']"
problema,7.84,"['problemas', 'el problema']"
eeuu,7.819999999999999,['embajada de eeuu']
informe,7.819999999999999,"['informe semanal', 'informe técnico n', 'informe matinal vuelve']"
ley,7.81,"['31084 ley de presupuesto del sector público para el año fiscal', 'la ley', 'ley de presupuesto', 'texto único ordenado de la ley de promoción del acceso a la propiedad formal']"
padre,7.6899999999999995,['britney spears padre']
estados unidos,7.669999999999999,"['en estados unidos', 'senadores de estados unidos', 'vuelo juez de estados unidos', 'tribunal de estados unidos']"
canciller,7.47,"['canciller maúrtua', 'canciller óscar maúrtua', 'cancillería']"
victoria,7.44,"['victoria las muñecas', 'vecinos de la victoria', 'la victoria', 'buscando la victoria', 'gran victoria nacional']"
sol,7.3999999999999995,['sol de palma']
