Keyword,Words Topico
el salvador,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
liga mx,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
ytalo manzo dt,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
últimos 45 minutos,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
directv sports,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
miguel trauco,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
hincha,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
primera ronda,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
representante de dos santos,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
cambio,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
carlos fernandez,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
bale,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
bosnia,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
serie a,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
nerman fatic,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
chica,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
liga profesional,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
inter de milán,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
