,Name,KeywordsByWord
20,medio,"['medio', 'empresa', 'interpretación', 'dato', 'medio', 'humanos', 'premio nobel alternativo', 'defensor', 'derechos', 'ambiente', 'jov', 'asesinato', 'medio', 'cuernavaca', 'fiscalía', 'país', 'intimidación', 'tiro', 'ama', 'año', 'portal', 'prensa', 'manuel gonzález reyes', 'méxico', 'medio', 'gedeus', 'billete', 'lancha', 'día', 'mujer', 'dólares', 'selva', 'necoclí']"
21,mundo,"['mundo', 'imagen', 'vuelta', 'mundo', 'los países bajos', 'población', 'década', 'mundo', 'miércoles', 'proyecto', 'frontera', 'mundo', 'niño', 'fase', 'marco zagal', 'pensamiento', 'espacio', 'año', 'exploración']"
22,los ángeles,"['desalojo', 'los ángeles', 'enero', 'moratoria', 'votarán', 'vacunación', 'medida', 'bar', 'los ángeles', 'negocio', 'comprobante', 'la familia de miya marcano', 'noticia', 'esperanza', 'niño', 'prueba', 'vacunación', 'los ángeles', 'lugar', 'pfizer', 'vacuna', 'noviembre', 'desalojo', 'los ángeles', 'ciudad', 'ola', 'suspensión', 'expulsión']"
23,pandemia,"['pandemia', 'corte inglés', 'millón', 'viajes', 'euros', '2020', 'mitigación', 'pandemia', 'favor', 'aprobación', 'proyecto', 'fondo', 'crisis', 'voto', 'cámara de diputado', 'ley', 'retiro', 'senado', 'pensión', 'mitigación', 'pandemia', 'favor', 'aprobación', 'proyecto', 'fondo', 'crisis', 'voto', 'cámara de diputado', 'ley', 'retiro', 'senado', 'pensión', 'marca', 'pandemia', 'suma', 'repunte', 'economía', 'año', 'aumento', 'amor', 'pandemia', 'restricción', 'línea']"
24,ministro,"['votación', 'cargo', 'ministro', 'yoshihide', 'elección', 'año', 'octubre', 'líder', 'partido liberal democrático', 'fumio kishida', 'pld', 'ee', 'país', 'ministro', '2020', 'elección', 'fumio', 'líder', 'partido liberal democrático', 'primaria', 'revocación', 'autoridad', 'ministro', 'enero', 'elección', 'referéndum', 'noviembre', 'revocación', 'autoridad', 'ministro', 'enero', 'elección', 'referéndum', 'noviembre']"
25,derecho,"['uruguay', '/es', 'lucha', 'américa latina  mujeres', 'país', 'aborto', 'región', 'argentina', 'martes', 'derecho', 'cuba', 'fecha', 'méxico', 'decena', 'presidente', 'lópez obrador', 'mujer', 'día', 'aborto', 'género', 'violencia', 'derecho', 'fin', 'movimiento', 'ciudad de méxico', 'mujer', 'aborto', 'educación', 'centenar', 'derecho', 'madrid', 'violación', 'respeto', 'caso', 'miércoles', 'derecho', 'colegio de abogados de áfrica', 'fin', 'estado', 'continente', 'diplomático', 'órden', 'violación', 'respeto', 'caso', 'miércoles', 'derecho', 'colegio de abogados de áfrica', 'fin', 'estado', 'continente', 'diplomático', 'órden']"
26,salud,"['autoridad', 'salud', 'efecto', 'contenido', 'vacuna', 'youtube', 'facundo manes', 'libro', 'ser humanos', 'frente', 'alerta', 'humanidad', 'avión', 'salud', 'día', 'efecto', 'año', 'tecnología', 'neurólogo', 'función', 'niño', 'arlington', 'dallas', 'salud', 'fuente', 'fort worth', 'funcionario', 'enfermedad', 'límite', 'problema', 'grado', 'salud', 'elemento', 'exposición']"
27,california,"['expresidente', 'california', 'inmigrante', 'mayoría', 'beneficiado', 'fábrica', 'textil', 'trabajador', 'hora', 'ley', 'california', 'hombre', 'punto', 'llama', 'auto', 'policía', 'california', 'escuela', 'jardinero', 'papá', 'indignación', 'california', 'cartel']"
28,investigación,"['hombre', 'número', 'investigación', 'género', 'violencia', 'invento', '/ju', 'lengua', 'civilización', 'itálico', 'pueblo', 'investigación', '/ju', 'etrusco', 'edad de hierro', 'humano', 'investigación', 'teoría', 'año', '/ju', 'persona']"
29,océano atlántico,"['lava', 'la palma', 'volcán', 'océano atlántico', 'momento', 'residente', 'contacto', 'volcán', 'mar', 'lava', 'reuters', 'ap', 'imágenes', 'magma', 'océano atlántico', 'gas', 'cumbre vieja']"
30,senado,"['revés', 'millón', 'ciudadanía', 'plan', 'senado', 'camino', 'mitigación', 'pandemia', 'favor', 'aprobación', 'proyecto', 'fondo', 'crisis', 'voto', 'cámara de diputado', 'ley', 'retiro', 'senado', 'pensión', 'mitigación', 'pandemia', 'favor', 'aprobación', 'proyecto', 'fondo', 'crisis', 'voto', 'cámara de diputado', 'ley', 'retiro', 'senado', 'pensión', 'contrarreloj', 'senado', 'asunto', 'gobierno', 'miércoles', 'plan', 'fondo', 'demócratas', 'deuda', 'indocumentado', 'propuesta', 'millón', 'asesora', 'información', 'senado']"
31,organización,"['asesinato', 'creación', 'favor', 'organización', 'periodista', 'gobierno', 'cuenta', 'tribunal', 'prensa', 'libertad', 'ee', 'fotógrafo', 'cabecera', 'libro', 'médicos sin fronteras', 'historia', 'organización', 'memoria', 'fotografía', 'olvido', 'parte', 'través', 'fotógrafo', 'cabecera', 'libro', 'historia', 'organización', 'memoria', 'fotografía', 'olvido', 'parte', 'través', 'arma', 'eliminación', 'creación', 'país', 'favor', 'organización', 'representante', 'zona', 'marco', 'geng shuangratificó', 'aniversario', 'posición', 'arma', 'eliminación', 'creación', 'país', 'favor', 'organización', 'representante', 'zona', 'marco', 'geng shuangratificó', 'aniversario', 'posición']"
32,elementos del escuadrón móvil antidisturbios,"['manifestación', 'presidente', 'septiembre', 'noche', 'elementos del escuadrón móvil antidisturbios', 'jornada', 'manifestación', 'presidente', 'septiembre', 'noche', 'elementos del escuadrón móvil antidisturbios', 'jornada', 'manifestación', 'presidente', 'septiembre', 'noche', 'elementos del escuadrón móvil antidisturbios', 'jornada']"
33,cámara,"['cámara', 'niñera', 'niño', 'vigilancia', 'demanda', 'padre', 'habitación', 'cámara', 'hombre', 'seguridad', 'arresto', 'policía']"
34,partido liberal democrático,"['votación', 'cargo', 'ministro', 'yoshihide', 'elección', 'año', 'octubre', 'líder', 'partido liberal democrático', 'fumio kishida', 'pld', 'ee', 'país', 'ministro', '2020', 'elección', 'fumio', 'líder', 'partido liberal democrático', 'primaria', 'ministro de asuntos exteriores', 'país', 'elección', 'septiembre', 'gobernante', 'partido liberal democrático', 'fumio kishida', 'ministro de asuntos exteriores', 'país', 'elección', 'septiembre', 'gobernante', 'partido liberal democrático', 'fumio kishida']"
35,/ju,"['presa', 'agua', 'inglaterra', 'millón', 'isla de wight', 'parentesco', 'borde', 'resto', 'zona', 'año', '/ju', 'depredador', 'hombre', 'número', 'investigación', 'género', 'violencia', 'invento', '/ju', 'lengua', 'civilización', 'itálico', 'pueblo', 'investigación', '/ju', 'etrusco', 'edad de hierro', 'humano', 'investigación', 'teoría', 'año', '/ju', 'persona']"
36,español,"['guatemala', 'forma', 'música', 'letra', 'mujer', 'español', 'realidad', 'cantautora', 'kaqchikel', 'noticia', 'emmy', 'cobertura', 'la represión de trump', 'hora', 'compromiso', 'español', 'verdad', 'noticiero', 'edición', 'español', 'premio']"
37,enfrentamiento,"['banda', 'enfrentamiento', 'cárcel', 'ecuador', 'muerto', 'centro', 'episodio', 'muerte', '/es', 'banda', 'enfrentamiento', 'cifra', '2021', 'cárcel', 'año', 'violencia', 'motín', 'muerto', 'recluso', 'guayaquil', 'manifiesto', 'país', 'enfrentamiento', 'año', 'crisis', 'muerto', 'la masacre', 'herido', 'reo', 'penitenciaria del litoral', 'enfrentamiento', 'proaborto', 'marcha', 'ciudad de méxico', 'manifestante', 'policía']"
