,Name,KeywordsByWord
58,keiko fujimori,"['audiencia', 'miércoles', 'control', 'acusación', 'keiko fujimori', 'audiencia', 'miércoles', 'control', 'contra', 'acusación', 'keiko fujimori']"
59,rosángela espinoza “no me siento cómoda,"['eeg', 'rosángela espinoza “no me siento cómoda']"
60,consejo,"['consejo', 'semipresencialidad']"
61,real madrid,"['pide', 'pedroelinternacional', 'le', 'gustavo dulanto', 'ig', 'humildad', 'periodista', 'nota', 'declaración', 'foto', 'victoria', 'real madrid', 'lee', 'fe', 'sheriff de dulanto', 'sol', 'real madrid']"
62,barcelona,"['champions league', 'barcelona', 'benfica', 'grupo', 'resumen', 'gol', 'champions league', 'partido', 'barcelona', 'benfica', 'vivo', 'espn', 'vía']"
63,victoria,"['pide', 'pedroelinternacional', 'le', 'gustavo dulanto', 'ig', 'humildad', 'periodista', 'nota', 'declaración', 'foto', 'victoria', 'real madrid', 'lee', 'contender series', 'ufc', 'ficha', 'victoria', 'daniel zellhuber']"
64,juego,"['llave', 'escena', 'juego', 'maite perroni', 'mujer', 'colección', 'juego', 'rey león', 'disney', 'aladdin']"
65,cholo,"['orejas', 'traerán', 'cholo']"
66,mi primera mejor amiga,"['año', 'mi primera mejor amiga', 'mariana vértiz', 'natalie vértiz']"
67,cassandra sánchez de lamadrid esta,"['cassandra sánchez de lamadrid esta', 'reflexión', 'crítica', 'red']"
68,habeas,"['habeas', 'corpus', 'perú', 'alejandro toledo']"
69,balán gonzales,"['físico', 'gianluca lapadula', 'balán gonzales']"
70,sagrado,"['cholo sano', '“', 'alejandro toledo', 'sagrado']"
71,pregunta del día   los,"['foto archivo gec', 'sobrino', 'pregunta del día   los']"
72,hospital rebagliati acusan,"['hospital rebagliati acusan', 'año', 'tocamiento', 'médico']"
73,s/,"['pedro castillo', 'historial', 's/', 'gobierno']"
74,britney spears,"['año', 'tutor', 'padre', 'britney spears']"
75,iphone,"['copia', 'iphone', 'seguridad']"
76,yoshimar yotún video,"['hernán barcos', 'problema', 'yoshimar yotún video', 'aldo corzo']"
77,consulta sisfoh,"['consulta sisfoh', 'aquí', 'dato']"
78,gareca,"['gustavo dulanto', 'padre', 'gareca', 'experimento']"
79,mario vargas llosa,"['pedro castillo', 'mario vargas llosa', 'primaria', 'profesor']"
80,sheriff de dulanto,"['fe', 'sheriff de dulanto', 'sol', 'real madrid']"
81,brazo,"['explicación', 'capítulo', '8 hawkeye', 'brazo']"
82,mendoza,"['sismo', 'mendoza', 'magnitud', 'argentina']"
83,president,"['césar hildebrandt', 'el perú', 'president', 'caos']"
84,encuentro,"['apuesta', 'polla', 'encuentro', 'chile bolivia', 'juega acierta', ""'"", 'gana', 'participa', 'enlace', 'sorteo  ingresa', 'argentina', 'apuesta', 'polla', 'encuentro', 'chile bolivia', 'juega acierta', ""'"", 'gana', 'participa', 'enlace', 'sorteo  ingresa', 'argentina']"
85,cuto guadalupe,"['novia', 'nicola porcella', 'cuto guadalupe', 'catherine civiero', 'méxico']"
86,bono yanapay beneficiarios,"['dni', 'bono yanapay beneficiarios', 'octubre', 'cuenta', 'subsidio']"
87,horario,"['capítulo', 'programa', 'canal', 'horario', 'tentación']"
88,youtuber,"['carta', 'pareja', 'gerardo gonzález', 'youtuber', 'amor']"
89,felicidades,"['baile', 'oliverio', 'actor', 'felicidades', 'pachamanca', 'tiktok']"
90,hae soo de squid game,"['padre', 'hae soo de squid game', 'park', 'vez']"
91,oliverio,"['baile', 'oliverio', 'actor', 'felicidades', 'pachamanca', 'tiktok']"
92,espn,"['champions league', 'partido', 'barcelona', 'benfica', 'vivo', 'espn', 'vía']"
93,plata,"['origen', 'plata', 'qué creída', 'acento', 'la uchulú', 'amigo']"
