Number of words,9257
Number of unique words,1106
Average word frequency,8.369801
Entropy,6.534286

Word,Frequency,Proportion,Entropy Term
compañía,7,0.000756,0.005435
enfermedad,5,0.000540,0.004064
cáncer,15,0.001620,0.010411
cara,3,0.000324,0.002604
amor,13,0.001404,0.009224
tráfico,3,0.000324,0.002604
problema,8,0.000864,0.006096
crimen,6,0.000648,0.004758
lara,3,0.000324,0.002604
crónica,3,0.000324,0.002604
caída,7,0.000756,0.005435
paz,8,0.000864,0.006096
afganistán,30,0.003241,0.018576
ciencias,3,0.000324,0.002604
ejercicio,3,0.000324,0.002604
honor,4,0.000432,0.003347
hija,4,0.000432,0.003347
tony,4,0.000432,0.003347
muestra,3,0.000324,0.002604
dolor,3,0.000324,0.002604
revista,3,0.000324,0.002604
escritor,4,0.000432,0.003347
español,3,0.000324,0.002604
empleado,3,0.000324,0.002604
boxeador,3,0.000324,0.002604
experto,7,0.000756,0.005435
artes,3,0.000324,0.002604
ciudad,24,0.002593,0.015439
caracas,3,0.000324,0.002604
qaeda,4,0.000432,0.003347
islámico,4,0.000432,0.003347
aspiración,3,0.000324,0.002604
china,5,0.000540,0.004064
oeste,3,0.000324,0.002604
mexicano,3,0.000324,0.002604
anne,4,0.000432,0.003347
democracia,9,0.000972,0.006743
premio,11,0.001188,0.008003
pulitzer,4,0.000432,0.003347
torre,4,0.000432,0.003347
atentado,9,0.000972,0.006743
septiembre,26,0.002809,0.016501
curso,3,0.000324,0.002604
semana,31,0.003349,0.019085
infección,6,0.000648,0.004758
poeta,10,0.001080,0.007379
ensayo,5,0.000540,0.004064
mito,4,0.000432,0.003347
imagen,4,0.000432,0.003347
muro,4,0.000432,0.003347
participante,17,0.001836,0.011569
the,4,0.000432,0.003347
paciente,8,0.000864,0.006096
cuidado,5,0.000540,0.004064
report,3,0.000324,0.002604
niña,5,0.000540,0.004064
alternativa,3,0.000324,0.002604
hogar,4,0.000432,0.003347
padre,8,0.000864,0.006096
sequía,3,0.000324,0.002604
teresa,3,0.000324,0.002604
elizabeth,3,0.000324,0.002604
gareca,7,0.000756,0.005435
cariño,4,0.000432,0.003347
tabla,5,0.000540,0.004064
posición,8,0.000864,0.006096
capitán,3,0.000324,0.002604
crítica,5,0.000540,0.004064
padrón,4,0.000432,0.003347
pedro,28,0.003025,0.017546
castillo,33,0.003565,0.020094
incremento,4,0.000432,0.003347
relación,7,0.000756,0.005435
convoca,3,0.000324,0.002604
agua,10,0.001080,0.007379
ambiente,5,0.000540,0.004064
escolar,7,0.000756,0.005435
daniel,5,0.000540,0.004064
uci,3,0.000324,0.002604
riesgo,18,0.001944,0.012139
edad,7,0.000756,0.005435
modalidad,5,0.000540,0.004064
estafa,3,0.000324,0.002604
compra,3,0.000324,0.002604
venta,5,0.000540,0.004064
dinero,3,0.000324,0.002604
busca,3,0.000324,0.002604
impunidad,3,0.000324,0.002604
entrevista,9,0.000972,0.006743
pérez,6,0.000648,0.004758
justicia,9,0.000972,0.006743
fiscal,6,0.000648,0.004758
nación,4,0.000432,0.003347
competencia,9,0.000972,0.006743
administración,5,0.000540,0.004064
colaboración,3,0.000324,0.002604
luis,16,0.001728,0.010994
latorre,6,0.000648,0.004758
dirección,7,0.000756,0.005435
inteligencia,5,0.000540,0.004064
dini,16,0.001728,0.010994
cuarto,3,0.000324,0.002604
belleza,3,0.000324,0.002604
denuncia,3,0.000324,0.002604
escuela,6,0.000648,0.004758
escándalo,10,0.001080,0.007379
obra,4,0.000432,0.003347
avance,3,0.000324,0.002604
parque,6,0.000648,0.004758
funcionario,3,0.000324,0.002604
peligro,3,0.000324,0.002604
papelón,4,0.000432,0.003347
fifa,7,0.000756,0.005435
dybala,4,0.000432,0.003347
lionel,20,0.002161,0.013260
messi,26,0.002809,0.016501
tapia,14,0.001512,0.009821
vs,34,0.003673,0.020593
visitante,4,0.000432,0.003347
banderazo,3,0.000324,0.002604
corinthians,9,0.000972,0.006743
scaloni,7,0.000756,0.005435
anvisa,8,0.000864,0.006096
mem,3,0.000324,0.002604
fotos,11,0.001188,0.008003
papel,10,0.001080,0.007379
interrupción,5,0.000540,0.004064
campeón,4,0.000432,0.003347
liga,8,0.000864,0.006096
universitario,6,0.000648,0.004758
consecuencia,5,0.000540,0.004064
local,13,0.001404,0.009224
duelo,16,0.001728,0.010994
llegada,10,0.001080,0.007379
pelea,6,0.000648,0.004758
cholito,4,0.000432,0.003347
lapadula,17,0.001836,0.011569
cueva,9,0.000972,0.006743
hincha,7,0.000756,0.005435
ricardo,8,0.000864,0.006096
cabeza,5,0.000540,0.004064
mercado,3,0.000324,0.002604
luz,6,0.000648,0.004758
fc,3,0.000324,0.002604
barcelona,9,0.000972,0.006743
koeman,3,0.000324,0.002604
cosa,6,0.000648,0.004758
discusión,4,0.000432,0.003347
kane,3,0.000324,0.002604
compañero,6,0.000648,0.004758
united,3,0.000324,0.002604
serie,8,0.000864,0.006096
punto,20,0.002161,0.013260
bale,6,0.000648,0.004758
victoria,4,0.000432,0.003347
gales,5,0.000540,0.004064
visita,4,0.000432,0.003347
bielorrusia,3,0.000324,0.002604
gareth,6,0.000648,0.004758
hattrick,3,0.000324,0.002604
sueño,5,0.000540,0.004064
espinoza,4,0.000432,0.003347
rodrigo,7,0.000756,0.005435
guillén,9,0.000972,0.006743
efraín,3,0.000324,0.002604
sotacuro,3,0.000324,0.002604
camiseta,6,0.000648,0.004758
cristiano,3,0.000324,0.002604
ronaldo,3,0.000324,0.002604
motivo,5,0.000540,0.004064
locura,4,0.000432,0.003347
neymar,8,0.000864,0.006096
psg,3,0.000324,0.002604
euros,8,0.000864,0.006096
link,3,0.000324,0.002604
