Number of pairs,6021.000000
Number of unique pairs,1281
Average pair frequency,4.700234
Pair entropy,6.951919

Pair,Frequency,Proportion,Entropy Term,Mutual Information
universidad nacional,3.000000,0.000498,0.003789,5.414850
san examen,5.000000,0.000830,0.005891,4.544659
san marcos,12.000000,0.001993,0.012393,6.267425
san caso,4.000000,0.000664,0.004861,3.990158
san juan,6.000000,0.000997,0.006887,5.861960
san lurigancho,6.000000,0.000997,0.006887,6.267425
san estudiante,4.000000,0.000664,0.004861,5.255824
san martín,3.000000,0.000498,0.003789,5.756599
marcos examen,5.000000,0.000830,0.005891,5.355589
marcos admisión,5.000000,0.000830,0.005891,5.391956
marcos estudiante,4.000000,0.000664,0.004861,6.066754
qatar partido,4.000000,0.000664,0.004861,2.543965
qatar minuto,3.000000,0.000498,0.003789,3.956235
galería foto,4.000000,0.000664,0.004861,6.730049
galería efe,3.000000,0.000498,0.003789,8.176968
foto efe,3.000000,0.000498,0.003789,6.730049
región país,3.000000,0.000498,0.003789,3.116485
región vacunación,7.000000,0.001163,0.007856,4.036103
región año,4.000000,0.000664,0.004861,2.083962
región ica,3.000000,0.000498,0.003789,3.833162
región persona,3.000000,0.000498,0.003789,2.560197
región minsa,7.000000,0.001163,0.007856,4.357687
región brecha,5.000000,0.000830,0.005891,5.442600
caso variante,7.000000,0.001163,0.007856,5.137560
caso delta,3.000000,0.000498,0.003789,5.388875
caso esterilización,3.000000,0.000498,0.003789,5.612018
caso emergencia,4.000000,0.000664,0.004861,5.206553
caso martes,3.000000,0.000498,0.003789,4.801088
caso mu,4.000000,0.000664,0.004861,5.088770
caso vaca,4.000000,0.000664,0.004861,5.676557
variante delta,5.000000,0.000830,0.005891,6.855212
variante piura,3.000000,0.000498,0.003789,6.007914
variante vacunación,3.000000,0.000498,0.003789,4.264945
variante mu,9.000000,0.001495,0.009725,6.855212
delta piura,3.000000,0.000498,0.003789,7.106526
distrito zona,6.000000,0.000997,0.006887,6.567530
jean paul,4.000000,0.000664,0.004861,6.960572
presidente josé,5.000000,0.000830,0.005891,4.033833
presidente país,3.000000,0.000498,0.003789,2.806330
presidente pedro,6.000000,0.000997,0.006887,3.928472
presidente castillo,8.000000,0.001329,0.008801,4.051851
presidente essalud,4.000000,0.000664,0.004861,4.657987
presidente ugaz,4.000000,0.000664,0.004861,4.775770
presidente cerrón,5.000000,0.000830,0.005891,4.370305
presidente ciudadano,5.000000,0.000830,0.005891,4.680460
presidente condé,6.000000,0.000997,0.006887,5.314767
presidente alpha,5.000000,0.000830,0.005891,5.468917
carlos gobierno,3.000000,0.000498,0.003789,4.169634
carlos anderson,3.000000,0.000498,0.003789,7.078355
carlos cao,3.000000,0.000498,0.003789,7.078355
comisión Ética,10.000000,0.001661,0.010630,6.427768
comisión lunes,3.000000,0.000498,0.003789,5.041473
comisión congreso,4.000000,0.000664,0.004861,4.723020
selección partido,6.000000,0.000997,0.006887,3.021751
selección encuentro,3.000000,0.000498,0.003789,4.488088
selección brasil,4.000000,0.000664,0.004861,2.424395
selección argentina,6.000000,0.000997,0.006887,2.912552
selección eliminatorias,4.000000,0.000664,0.004861,2.806330
selección peruana,7.000000,0.001163,0.007856,5.335386
selección venezuela,10.000000,0.001661,0.010630,3.900301
américa latina→,4.000000,0.000664,0.004861,6.924205
arena corinthians,4.000000,0.000664,0.004861,6.960572
sao paulo,3.000000,0.000498,0.003789,8.176968
puerta grupo,3.000000,0.000498,0.003789,4.775770
puerta turista,3.000000,0.000498,0.003789,6.855212
turista ola,3.000000,0.000498,0.003789,7.260677
juan caso,4.000000,0.000664,0.004861,5.088770
juan lurigancho,6.000000,0.000997,0.006887,7.366037
juan emergencia,4.000000,0.000664,0.004861,6.672890
lurigancho caso,4.000000,0.000664,0.004861,5.494235
lurigancho emergencia,4.000000,0.000664,0.004861,7.078355
niño partido,3.000000,0.000498,0.003789,2.972961
niño covid,3.000000,0.000498,0.003789,5.825592
programa pueblo,4.000000,0.000664,0.004861,4.923690
museo nacional,3.000000,0.000498,0.003789,5.414850
hora partido,3.000000,0.000498,0.003789,2.583496
hora movistar,4.000000,0.000664,0.004861,4.380075
hora canal,5.000000,0.000830,0.005891,4.848341
maría alva,13.000000,0.002159,0.013253,6.220128
maría carmen,10.000000,0.001661,0.010630,6.091296
vida día,5.000000,0.000830,0.005891,3.697361
vida año,3.000000,0.000498,0.003789,2.248265
vida poeta,4.000000,0.000664,0.004861,5.314767
vida parra,4.000000,0.000664,0.004861,5.537910
méxico foto,3.000000,0.000498,0.003789,4.090991
méxico migrant,3.000000,0.000498,0.003789,4.151616
paso migrant,3.000000,0.000498,0.003789,5.809844
caravana migrant,4.000000,0.000664,0.004861,6.567530
