Number of pairs,6021.000000
Number of unique pairs,1281
Average pair frequency,4.700234
Pair entropy,6.951919

Pair,Frequency,Proportion,Entropy Term,Mutual Information
guerrero lapadula,6.000000,0.000997,0.006887,5.688595
guerrero gianluca,3.000000,0.000498,0.003789,5.882751
lotería dueño,3.000000,0.000498,0.003789,7.483820
lotería boleto,3.000000,0.000498,0.003789,7.771502
dueño boleto,3.000000,0.000498,0.003789,8.176968
herrera diana,5.000000,0.000830,0.005891,7.260677
herrera sánchez,5.000000,0.000830,0.005891,6.672890
herrera malanga,3.000000,0.000498,0.003789,7.260677
diana sánchez,5.000000,0.000830,0.005891,7.366037
sánchez eeuu,3.000000,0.000498,0.003789,5.520211
baigorria paloma,4.000000,0.000664,0.004861,7.142894
baigorria fiuza,3.000000,0.000498,0.003789,7.078355
baigorria herida,4.000000,0.000664,0.004861,7.366037
baigorria guerreros,3.000000,0.000498,0.003789,5.979743
pamela cueva,4.000000,0.000664,0.004861,6.960572
pamela christian,3.000000,0.000498,0.003789,6.567530
pamela lópez,4.000000,0.000664,0.004861,6.592847
brenda carvalho,5.000000,0.000830,0.005891,7.953824
gala reinas,5.000000,0.000830,0.005891,5.118261
gala show,5.000000,0.000830,0.005891,4.881131
nicola porcella,4.000000,0.000664,0.004861,8.176968
emilia reinas,3.000000,0.000498,0.003789,5.300582
emilia drago,3.000000,0.000498,0.003789,8.464650
drago reinas,3.000000,0.000498,0.003789,5.300582
drago show,3.000000,0.000498,0.003789,5.063452
rosángela espinoza,3.000000,0.000498,0.003789,8.176968
patricio parodi,3.000000,0.000498,0.003789,8.176968
ins variante,4.000000,0.000664,0.004861,6.855212
milagro delincuente,3.000000,0.000498,0.003789,6.231057
milagro camioneta,3.000000,0.000498,0.003789,5.925676
paloma fiuza,4.000000,0.000664,0.004861,7.953824
paloma herida,4.000000,0.000664,0.004861,7.953824
paloma guerreros,3.000000,0.000498,0.003789,6.567530
fiuza herida,3.000000,0.000498,0.003789,7.889286
herida méxico,3.000000,0.000498,0.003789,5.537910
herida guerreros,3.000000,0.000498,0.003789,6.790673
guerreros méxico,9.000000,0.001495,0.009725,5.537910
eva ayllón,5.000000,0.000830,0.005891,7.771502
eva daniela,4.000000,0.000664,0.004861,7.771502
eva darcourt,3.000000,0.000498,0.003789,7.771502
ayllón voz,4.000000,0.000664,0.004861,6.942223
ayllón daniela,3.000000,0.000498,0.003789,7.666142
ayllón darcourt,3.000000,0.000498,0.003789,7.953824
daniela voz,3.000000,0.000498,0.003789,6.877685
daniela darcourt,3.000000,0.000498,0.003789,8.176968
darcourt voz,3.000000,0.000498,0.003789,7.165367
darcourt gana,3.000000,0.000498,0.003789,7.953824
descompensación paredes,5.000000,0.000830,0.005891,5.468917
descompensación melissa,5.000000,0.000830,0.005891,5.692061
descompensación nervio,3.000000,0.000498,0.003789,7.260677
acevedo vania,6.000000,0.000997,0.006887,5.373607
acevedo bludau,6.000000,0.000997,0.006887,5.373607
acevedo reinas,13.000000,0.002159,0.013253,4.975160
acevedo show,7.000000,0.001163,0.007856,4.118991
acevedo versu,3.000000,0.000498,0.003789,6.672890
barrio actor,3.000000,0.000498,0.003789,7.165367
asu mare,4.000000,0.000664,0.004861,8.176968
carne caso,3.000000,0.000498,0.003789,5.899700
carne vaca,3.000000,0.000498,0.003789,7.953824
reina show,16.000000,0.002657,0.015759,4.700547
reina reality,3.000000,0.000498,0.003789,5.041473
reina participante,4.000000,0.000664,0.004861,4.980849
reina gisela,3.000000,0.000498,0.003789,4.961431
reina descompensación,4.000000,0.000664,0.004861,5.511477
reina flow,3.000000,0.000498,0.003789,6.427768
reina escena,3.000000,0.000498,0.003789,6.140086
razón chyno,3.000000,0.000498,0.003789,7.483820
razón miranda,3.000000,0.000498,0.003789,7.483820
razón natasha,3.000000,0.000498,0.003789,7.078355
chyno miranda,4.000000,0.000664,0.004861,8.176968
chyno natasha,4.000000,0.000664,0.004861,7.771502
chyno araos,4.000000,0.000664,0.004861,7.771502
miranda natasha,5.000000,0.000830,0.005891,7.994646
miranda araos,4.000000,0.000664,0.004861,7.771502
natasha araos,6.000000,0.000997,0.006887,7.771502
angie jibaja,3.000000,0.000498,0.003789,8.176968
hijo paul,3.000000,0.000498,0.003789,6.385208
arma fuego,4.000000,0.000664,0.004861,7.078355
arma kandahar,3.000000,0.000498,0.003789,7.483820
arma cuna,3.000000,0.000498,0.003789,7.483820
tilsa lozano,3.000000,0.000498,0.003789,7.953824
versu bachata,3.000000,0.000498,0.003789,7.953824
muerto herido,3.000000,0.000498,0.003789,6.790673
tiroteo capital,3.000000,0.000498,0.003789,6.636523
tiroteo washington,4.000000,0.000664,0.004861,7.260677
tiroteo dc,3.000000,0.000498,0.003789,7.483820
flow riesgo,3.000000,0.000498,0.003789,6.672890
flow escena,3.000000,0.000498,0.003789,8.176968
escena riesgo,3.000000,0.000498,0.003789,6.385208
lady reinas,3.000000,0.000498,0.003789,4.096609
lady show,3.000000,0.000498,0.003789,3.859479
lady guillén,8.000000,0.001329,0.008801,7.142894
nombre negocio,3.000000,0.000498,0.003789,6.502991
nombre decisión,3.000000,0.000498,0.003789,6.385208
nombre encargada,3.000000,0.000498,0.003789,6.790673
decisión reelección,3.000000,0.000498,0.003789,6.267425
decisión sala,3.000000,0.000498,0.003789,6.672890
decisión constitucional,3.000000,0.000498,0.003789,6.855212
sheyla rojas,3.000000,0.000498,0.003789,7.771502
olivo camioneta,4.000000,0.000664,0.004861,6.213358
ritmo reinas,4.000000,0.000664,0.004861,4.607435
ritmo show,3.000000,0.000498,0.003789,4.082623
ritmo cumbia,3.000000,0.000498,0.003789,6.972995
campo juego,3.000000,0.000498,0.003789,7.106526
golpe guinea,3.000000,0.000498,0.003789,6.318069
señal movistar,3.000000,0.000498,0.003789,4.636008
señal deportes,3.000000,0.000498,0.003789,5.574278
auge kandahar,3.000000,0.000498,0.003789,8.464650
kandahar talibán,3.000000,0.000498,0.003789,6.618823
kandahar afganistán,3.000000,0.000498,0.003789,6.162065
kandahar cuna,3.000000,0.000498,0.003789,8.464650
cuna talibán,3.000000,0.000498,0.003789,6.618823
cuna afganistán,3.000000,0.000498,0.003789,6.162065
sam heughan,3.000000,0.000498,0.003789,8.464650
sam sophie,3.000000,0.000498,0.003789,8.464650
sam skelton,3.000000,0.000498,0.003789,8.464650
heughan sophie,3.000000,0.000498,0.003789,8.464650
heughan skelton,3.000000,0.000498,0.003789,8.464650
sophie skelton,3.000000,0.000498,0.003789,8.464650
salud región,3.000000,0.000498,0.003789,3.545480
salud dosis,3.000000,0.000498,0.003789,3.746151
salud minsa,4.000000,0.000664,0.004861,4.250056
salud amor,3.000000,0.000498,0.003789,4.764720
noche venezuela,5.000000,0.000830,0.005891,4.593449
noche fecha,3.000000,0.000498,0.003789,4.447266
leslie moscoso,3.000000,0.000498,0.003789,8.464650
oposición méxico,3.000000,0.000498,0.003789,4.621620
fuerza popular,3.000000,0.000498,0.003789,5.899700
alpha condé,5.000000,0.000830,0.005891,7.617352
capital washington,3.000000,0.000498,0.003789,7.106526
capital dc,3.000000,0.000498,0.003789,7.617352
ee uu,11.000000,0.001827,0.011519,7.165367
fallo reelección,3.000000,0.000498,0.003789,6.855212
reelección presidente,3.000000,0.000498,0.003789,4.370305
reelección bukele,3.000000,0.000498,0.003789,6.385208
reelección salvador,3.000000,0.000498,0.003789,6.162065
líder grupo,4.000000,0.000664,0.004861,4.695728
líder presidente,3.000000,0.000498,0.003789,4.002580
líder gobierno,3.000000,0.000498,0.003789,4.089592
líder talibán,3.000000,0.000498,0.003789,5.152486
líder fuerzas,3.000000,0.000498,0.003789,6.710631
contenido suscriptor,6.000000,0.000997,0.006887,7.483820
contenido comercio,6.000000,0.000997,0.006887,7.483820
contenido suscríbete,6.000000,0.000997,0.006887,7.483820
suscriptor informe,6.000000,0.000997,0.006887,6.924205
suscriptor comercio,6.000000,0.000997,0.006887,7.771502
suscriptor suscríbete,6.000000,0.000997,0.006887,7.771502
comercio informe,6.000000,0.000997,0.006887,6.924205
comercio suscríbete,6.000000,0.000997,0.006887,7.771502
suscríbete informe,6.000000,0.000997,0.006887,6.924205
militantes perú,3.000000,0.000498,0.003789,4.909302
militantes condición,3.000000,0.000498,0.003789,7.366037
militantes libre,3.000000,0.000498,0.003789,6.998313
tolerancia josé,4.000000,0.000664,0.004861,6.295596
tolerancia presidente,5.000000,0.000830,0.005891,5.468917
tolerancia cerrón,5.000000,0.000830,0.005891,6.855212
huracán ida,3.000000,0.000498,0.003789,7.483820
washington dc,3.000000,0.000498,0.003789,7.953824
tipo cambio,3.000000,0.000498,0.003789,6.924205
tipo domingo,3.000000,0.000498,0.003789,5.692061
teniente mamady,3.000000,0.000498,0.003789,8.176968
teniente doumbouya,3.000000,0.000498,0.003789,8.176968
mamady grupo,3.000000,0.000498,0.003789,5.586700
mamady líder,3.000000,0.000498,0.003789,6.710631
mamady doumbouya,4.000000,0.000664,0.004861,8.176968
doumbouya grupo,3.000000,0.000498,0.003789,5.586700
doumbouya líder,3.000000,0.000498,0.003789,6.710631
doumbouya fuerzas,4.000000,0.000664,0.004861,8.176968
fuerzas presidente,3.000000,0.000498,0.003789,5.181235
fuerzas condé,3.000000,0.000498,0.003789,7.329670
fuerzas alpha,3.000000,0.000498,0.003789,7.666142
poesía chepén,4.000000,0.000664,0.004861,8.464650
sarah harding,3.000000,0.000498,0.003789,8.464650
sarah girls,3.000000,0.000498,0.003789,8.464650
harding girls,3.000000,0.000498,0.003789,8.464650
harding aloud,3.000000,0.000498,0.003789,8.464650
girls año,4.000000,0.000664,0.004861,4.769540
girls aloud,3.000000,0.000498,0.003789,8.464650
aloud año,4.000000,0.000664,0.004861,4.769540
habitante municipio,3.000000,0.000498,0.003789,7.666142
nayib bukele,3.000000,0.000498,0.003789,7.483820
experiencia inteligencia,3.000000,0.000498,0.003789,7.260677
experiencia pergamino,3.000000,0.000498,0.003789,7.771502
experiencia círculo,3.000000,0.000498,0.003789,7.771502
jurado reinas,3.000000,0.000498,0.003789,4.789756
jurado show,3.000000,0.000498,0.003789,4.552627
sala presidente,3.000000,0.000498,0.003789,4.775770
sala reelección,3.000000,0.000498,0.003789,6.672890
sala constitucional,3.000000,0.000498,0.003789,7.260677
alberto director,3.000000,0.000498,0.003789,5.586700
alberto tejada,3.000000,0.000498,0.003789,7.483820
alberto diris,3.000000,0.000498,0.003789,7.483820
exitosa setiembre,3.000000,0.000498,0.003789,5.052402
exitosa domingo,3.000000,0.000498,0.003789,4.844763
exitosa señal,3.000000,0.000498,0.003789,5.825592
tejada lima,3.000000,0.000498,0.003789,5.168813
tejada director,3.000000,0.000498,0.003789,6.567530
tejada diris,3.000000,0.000498,0.003789,8.464650
diris lima,3.000000,0.000498,0.003789,5.168813
diris sur,3.000000,0.000498,0.003789,6.998313
rango edad,3.000000,0.000498,0.003789,7.329670
radio señal,3.000000,0.000498,0.003789,6.672890
radio exitosa,3.000000,0.000498,0.003789,7.617352
delgado eliminatorias,3.000000,0.000498,0.003789,4.598089
delgado fecha,3.000000,0.000498,0.003789,5.140413
delgado sudamericanas,3.000000,0.000498,0.003789,5.756599
sudamericanas partido,8.000000,0.001329,0.008801,3.702476
sudamericanas estadio,3.000000,0.000498,0.003789,4.070201
sudamericanas nacional,3.000000,0.000498,0.003789,3.728451
giammattei ciudadano,3.000000,0.000498,0.003789,6.877685
suprema salvador,4.000000,0.000664,0.004861,6.855212
encargada negocio,4.000000,0.000664,0.004861,7.078355
encargada decisión,3.000000,0.000498,0.003789,6.672890
encargada sala,3.000000,0.000498,0.003789,7.078355
getty images,6.000000,0.000997,0.006887,7.771502
distribución vacuna,3.000000,0.000498,0.003789,5.979743
distribución millón,3.000000,0.000498,0.003789,5.514380
distribución dosis,3.000000,0.000498,0.003789,5.692061
ayacucho incendio,3.000000,0.000498,0.003789,7.953824
anderson gobierno,3.000000,0.000498,0.003789,5.555929
anderson cao,3.000000,0.000498,0.003789,8.464650
cao gobierno,3.000000,0.000498,0.003789,5.555929
perla jefe,4.000000,0.000664,0.004861,6.618823
perla dini,4.000000,0.000664,0.004861,6.790673
perla experiencia,3.000000,0.000498,0.003789,7.483820
pergamino presidente,3.000000,0.000498,0.003789,5.468917
pergamino círculo,3.000000,0.000498,0.003789,8.464650
círculo presidente,3.000000,0.000498,0.003789,5.468917
movimiento alianza,3.000000,0.000498,0.003789,6.502991
movimiento democrática,3.000000,0.000498,0.003789,8.176968
movimiento gobernabilidad,3.000000,0.000498,0.003789,8.176968
democrática gobernabilidad,3.000000,0.000498,0.003789,8.464650
escalada premier,3.000000,0.000498,0.003789,6.730049
escalada bellido,3.000000,0.000498,0.003789,6.567530
escalada misógina,3.000000,0.000498,0.003789,8.464650
misógina premier,3.000000,0.000498,0.003789,6.730049
misógina bellido,3.000000,0.000498,0.003789,6.567530
misógina lupa,3.000000,0.000498,0.003789,8.464650
yolanda medina,5.000000,0.000830,0.005891,6.924205
yolanda ritmo,3.000000,0.000498,0.003789,6.972995
yolanda cumbia,3.000000,0.000498,0.003789,7.442998
constitucional presidente,3.000000,0.000498,0.003789,4.958092
constitucional reelección,3.000000,0.000498,0.003789,6.855212
nicanor vida,4.000000,0.000664,0.004861,6.231057
nicanor año,4.000000,0.000664,0.004861,4.481858
nicanor parra,4.000000,0.000664,0.004861,7.483820
parra día,4.000000,0.000664,0.004861,4.726980
parra vida,4.000000,0.000664,0.004861,5.537910
parra año,8.000000,0.001329,0.008801,4.481858
parra poeta,4.000000,0.000664,0.004861,6.567530
logro mujer,4.000000,0.000664,0.004861,5.578918
logro américa,4.000000,0.000664,0.004861,6.701061
logro latina→,4.000000,0.000664,0.004861,7.953824
