,Name,WordsByTrend
24,DESPACHO PRESIDENCIAL,"['hecho', 'gato', 'comunicación', 'candidato', 'etcétera', 'mientras', 'terruco', 'sacar', 'mao', 'elección', 'ganado', 'proclamar', 'total', 'cumplir', 'funcional', 'guidobellido', 'ahora', 'registrado', 'ley', 'bermejo', 'transparencia', 'luego', 'hacer', 'organizativo', 'imitación', 'despachopresidencial', 'labor', 'dar', 'literal', 'adecuado', 'sorprender', 'chacra', 'firma', 'vecindario', 'medio', 'sujetarse', 'registro', 'ojo', 'señor', 'andarlar', 'avizorar', 'cinco', 'función', 'menos', 'denunciado', 'tirar', 'despacho', 'retornar', 'acto', 'único', 'chuponeo', 'sino', 'alrededor', 'saber', 'recibir', 'lope', 'presidente', 'palacio', 'iniciar', 'traslado', 'sujeto', 'construir', 'inmediato', 'prevacancia', 'solo', 'quién', 'perúlibrar', 'guillermobermejo', 'presidencial', 'falta', 'dinámico', 'lugar', 'juntario', 'despachar', 'pie', 'estructura', 'tranquilidad', 'control', 'castillo', 'visita', 'así', 'pedro', 'audio', 'decidir', 'pedrocastillo', 'creer', 'invitar', 'monumento', 'keiko', 'determinar', 'cuánto', 'querer', 'deber', 'acondicionar', 'gobierno', 'barrio', 'sede', 'debidamente', 'editado', 'normado', 'senderista', 'ser', 'corresponder', 'libro', 'absoluto', 'alli', 'entender', 'honesto', 'constitucional', 'esconder', 'basura', 'carnecitar', 'surrar', 'negocio', 'pedido', 'lenin', 'buscar', 'día', 'dañario', 'centro', 'palaciodegobierno', 'comunista', 'seguro', 'rechazar', 'fin']"
25,EL APRA,"['aquí', 'sheput', 'elección', 'premier', 'amiga', 'acuerdo', 'congresal', 'recurrente', 'ladrón', 'foro', 'ley', 'marcha', 'paso', 'vida', 'sobrar', 'además', 'mafioso', 'hacer', 'juan', 'convergir', 'terruko', 'vividor', 'recordar', 'diezmado', 'respetar', 'bellidonovo', 'autoridad', 'buen', 'jorge', 'demás', 'rata', 'encabezar', 'caviarono', 'entrar', 'menos', 'vivo', 'mrta', 'video', 'aflojar', 'borrego', 'fugitivo', 'ladrona', 'despistar', 'paulo', 'parecer', 'repudiar', 'decir', 'ortiz', 'ahí', 'fujimorista', 'ratero', 'narcoterrorista', 'solo', 'sentencia', 'país', 'compar', 'presidencial', 'partido', 'dinámico', 'nunca', 'izquierda', 'decente', 'morir', 'apra', 'desaparecer', 'lacra', 'hablar', 'gabinete', 'gestión', 'castillo', 'así', 'san', 'pober', 'taper', 'peru', 'forma', 'alanismo', 'repetir', 'damar', 'alan', 'aprismo', 'calladito', 'siempre', 'bellido', 'garcir', 'frente', 'deber', 'tamal', 'ver', 'puta', 'fanático', 'jajajajajajaajajajajajajajaaj', 'beto', 'seguir', 'fundar', 'fraude', 'carla', 'fujimotista', 'demanda', 'poto', 'política', 'bellidorenunciaya', 'sobón', 'sendero', 'ovacionar', '1988', 'demócrata', 'cambio', 'esque', 'volver', 'servir']"
26,FRANCKE,"['mismo', 'gustar', 'promover', 'mariateguista', 'cómplice', 'demasiado', 'dere', 'sinvergüenza', 'solución', 'afín', 'excluido', 'deslizar', 'menopausia', 'sheput', 'jurar', 'aliado', 'pedrofranckar', 'naaaar', 'nuevo', 'bolsillo', 'fundamental', 'alistar', 'pulpín', 'ahora', 'semana', 'armado', 'porquería', 'bermejo', 'poder', 'videocolumnista', 'francke', 'toribio', 'nacer', 'católico', 'momento', 'alentar', 'peruanito', 'contundente', 'juan', 'alita', 'acceso', 'senderismo', 'identificar', 'referir', 'apología', 'sálvar', 'moderado', 'respetar', 'defender', 'expectorado', 'museo', 'pari', 'alegrar', 'entonces', 'patada', 'caviar', 'consenso', 'clasismo', 'ministeriodeeconomía', 'primero', 'oportunidad', 'razón', 'chupapinga', 'voltear', 'círculo', 'ciego', '1/11', 'revivir', 'terrorista', 'jara', 'pronto', 'olvidar', 'ingenuo', 'nombramiento', 'antifujimorito', 'rastrero', 'promoción', 'joder', 'guido', 'vacunación', 'asumir', 'hegemónico', 'peor', 'corruptamente', 'pobre', 'separar', 'nunca', 'admitir', 'banco', 'año', 'toque', 'continuar', 'cambiar', 'embargo', 'tranquilidad', 'miga', 'pedri', 'gabinete', 'inversionista', 'organismo', 'militante', 'just', '300.000', 'jamás', 'así', 'misógino', 'massive', 'devaluado', 'seguridad', 'ambición', 'creer', 'arrodillar', 'factual', 'campaña', 'plan', 'antonieta', 'leer', 'dirigir', 'blanquito', 'principio', 'siempre', 'darlar', 'querer', 'deber', 'torre', 'gran', 'ver', 'ráfaga', 'equivocado', 'discurso', 'susel', 'integridad', 'equivocar', 'jajaja', 'percibir', 'informar', 'urgencia', 'borrar', 'ser', 'preocupar', 'cerrón', 'dolar', 'inteligente', 'revelar', 'mensaje', 'título', 'paño', 'spr', 'luminoso', 'expresar', 'inversión', 'mercado', 'udo', 'ostentar', 'feliz', 'critica', 'centro', 'lagartija', 'institución', 'vigilante', 'reclamar', 'declive', 'topiltzin', 'ppc', 'milei', 'participación', 'ala', 'apologista', 'anticorrupto', 'etcétera', 'though', 'universal', 'izquierdista', 'declinar', 'problema', 'milímetro', 'vocación', 'escoger', 'bcr', 'dedo', 'amigo', 'calmar', 'crjo', 'funcionamiento', 'mérito', 'establecer', 'chiste', 'sobonerio', 'digital', 'fíjar', 'paso', 'huevon', 'meme', 'rendir', 'gas', 'economía', 'ademas', 'hacer', 'valorar', 'además', 'pueblo', 'importado', 'mil', 'asumetuvoto', 'humano', 'regional', 'imbecil', 'unificado', 'fracasar', 'evidenciar', 'señor', 'intentar', 'moradicto', 'lago', 'iluso', 'excelentísimo', 'libertad', 'empleo', 'cevallo', 'orientación', 'esfuerzo', 'bien.usted', 'aprender', 'sexual', 'mñn', 'rectificación', 'callado', 'arriesgar', 'dba', 'mentir', 'boca', 'único', 'enmienda', 'pensar', 'parecer', 'decir', 'extremo', 'elegir', 'perjudicado', 'ahí', 'lentejero', 'mermelada', 'llevar', 'confianza', 'solo', 'nombrar', 'chofer', 'jajaj', 'tratar', 'antiterrorista', 'reactivar', 'entero', 'ojalá', 'izquierda', '.parece', 'mediocre', 'kongrezoo', 'morir', 'preparado', 'lunes', 'peruano', 'ejecutivo', 'desaparecer', 'gente', 'respeto', 'fujimorismo', 'tía', 'loco', 'pusilanime', '6/11', 'cubrir', 'respaldado', 'dos', 'apelar', 'perruñar', 'inicio', 'normal', 'letra', 'escondidas', 'doble', 'copamiento', 'obligatorio', '9/11', 'capital', 'mejor', 'mes', 'vulnerable', 'cosa', 'bellido', 'experiencia', 'payaso', 'reflejar', 'maría', 'diferente', 'doctor', 'desgracia', 'chota', 'cada', 'gobierno', 'dentro', 'juramentar', 'entrevista', 'quemado', 'seguir', 'angurria', 'impresentable', 'about', 'bomba', 'homenaje', 'atraque', 'pequeño', 'indira', 'enfermería', 'salud', 'reunir', 'resultar', 'dirigiendotar', 'añito', 'vez', 'bajar', '120', 'montoya', 'antecedente', 'sendero', 'falto', 'perlita', 'luiscastilla', 'pez', 'día', '7/11', 'rey', 'escoria', 'coalición', 'alivio', 'sector', 'asumetucagado', 'bombero', 'bien', 'valenzuela', 'mega', 'confiar', 'quizás', 'embajador', 'república', 'ayala', 'lamentablemente', 'anibal', 'hoy', 'sacar', 'estallar', 'temeroso', 'llegar', 'esperar', 'premier', 'fumárnoslo', 'castilla', 'investigado', 'querido', 'toledo', 'guidobellido', 'suficiente', 'luchar', 'resarcir', 'asustado', 'pánico', 'necesidad', 'nacionalidad', 'alto', 'tudela', 'zurdo', 'señalar', 'zapatón', 'nombrado', 'económico', 'práctico', 'denunciar', 'pecar', 'limeño', 'policia', 'jefe', 'director', 'acción', 'indignar', 'recordar', 'devolver', 'empezar', 'dejar', 'cómodo', 'bejar', 'buen', 'profesional', '.....', 'largar', 'turno', 'gritar', 'responsable', 'fajín', 'palabra', 'huella', 'atacar', 'obvio', 'jodido', 'andrés', 'congreso', 'perú', 'alumno', 'vacancia', 'hilo', 'tener', 'cargo', 'empeñar', 'ajeno', 'sol', 'saber', 'pum', 'plata', 'mover', 'traer', '\u2066la', 'lograr', 'permitir', 'natal', 'felicitar', 'durand', 'país', 'frio', 'partido', 'temer', 'trabajo', 'incendio', 'contrario', 'dólar', 'dinero', 'odio', 'ayer', 'minimizar', 'one', 'breve', 'impulsar', 'magallar', 'víctima', 'contacto', 'roberto', 'meterlar', 'privado', 'vacunar', 'dicho', 'favorito', 'terror', 'después', 'manejado', 'necesario', 'trabajar', 'rezar', 'según', 'botar', 'limpio', 'caer', 'interior', 'twitter', 'esperanza', 'ahorita', 'existir', 'lemur', 'venir', 'rojo', 'indeseable', 'liderado', 'bicentenarioperu', 'incio', 'social', 'bobalicón', 'error', 'apoyar', 'arrastrado', 'negar', 'terrorismonuncama', 'ballvé', 'crecer', 'sra', 'discriminado', 'censurar', 'encontrar', 'imposible', 'alva', 'apoyo', 'importante', 'sociald', 'pro', 'propiedad', 'persona', 'necesitar', 'calmado', 'adelante', 'línea', 'reputación', 'asumetuvotoidiota', 'cualquiera', 'mundial', 'tras', 'dandolar', 'democratización', 'poner', 'villanueva', 'contar', 'llorar', 'abierto', 'deslinde', 'tiempo', 'cercano', 'maltrato', 'valorizado', 'tal', 'igual', 'puro', 'baja', 'política', 'gracias', 'wayka', 'demócrata', 'claro', 'subir', 'frugal', 'cerron', 'dignidad', 'comunista', 'poderoso', 'lectura', 'economia', 'ministerio', 'vergüenza', 'pérdida', 'rodeado', 'intención', 'perder', 'ayuda', 'visión', 'valer', 'terruco', 'colocar', 'federado', 'hombre', 'terrorismo', 'asesor', 'modelo', 'diablo', 'facto', 'derrumbar', 'liberal', 'carro', 'foncode', 'lapicito', 'filoterruco', 'ministro', 'documento', 'recuperar', 'tipo', 'racismo', 'cierto', 'presidencia', '2/11', 'pin', 'calma', 'responsabilidad', 'empresario', 'gobernar', 'movimiento', 'burro', 'alejar', 'dar', 'jajaaaar', 'pagar', 'suicidio', '1er', 'medio', 'área', 'esquina', 'miserable', 'jajajaja', 'pertenecer', 'posible', 'broaster', 'villar', 'ejercito', 'cholo', 'alguno', 'pasar', 'estimado', 'entrar', 'menos', 'peligroso', 'vivir', 'medicocentrista', 'pedir', 'participar', 'video', 'indignado', 'dudoso', 'subido', '3.50', 'separación', 'apagar', 'sino', 'manera', 'sisol', 'tierra', 'alma', 'alberto', 'presidente', 'palacio', 'cómo', 'afinidad', 'revuelta', 'oposición', 'politico', 'casa', 'estatista', 'dándole', 'sagrado', 'quedar', 'aníbal', 'cuyo', 'urgente', 'administración', 'español', 'comprar', 'capacidad', 'priorizar', 'sólo', 'misoginia', 'apañador', 'flojera', 'aladrar', 'izq', 'recién', 'órden', 'conveniencia', 'computadora', 'hablar', 'decisión', '11/11', 'novísimo', 'castillo', 'dia', 'internet', 'carrasco', 'aunque', 'pedro', 'asegurar', 'respecto', 'dirección', 'calle', 'peru', 'conferencia', 'invitar', 'animal', 'luz', 'montonero', 'raro', 'mas', 'ong', 'edith', 'pañuelo', 'ente', 'anahí', 'agabineter', 'homofobia', 'público', 'vacado', 'dispuesto', 'precio', 'vuelta', 'exregidor', 'ingreso', 'reunión', 'puerta', 'imposición', 'manuel', 'convicción', 'libre', 'mef', 'democrata', 'apellido', 'arremeter', 'aún', 'personaje', 'inmoral', 'portero', 'aguantar', 'bicentenario', 'salir', 'turismo', 'alza', 'machismo', 'milagroso', 'cambio', 'seguro', 'moral', 'vía', 'luis', 'comenzar', 'aceptar', 'sentar', 'juego', 'fin', 'chotear', 'diálogo', 'durar']"
27,HAMILTON,"['fernar', 'puntero', 'ayuda', 'suerte', 'regalar', 'final', 'indeed', 'suspects', 'esperar', 'maybe', 'riccardo', 'seb', 'nuevo', 'hamilton', 'carro', 'formula1', 'love', 'hungar', 'other', 'literally', 'russel', 'luchar', 'semana', 'silverstone', 'bee', 'arranque', 'the', 'not', 'naaa', 'btw', 'mean', 'hungariangp', 'hacer', 'dar', 'descalificar', 'seeing', 'posición', 'medio', 'mercede', 'polémico', 'defender', 'dejar', 'run', 'racing', 'pasar', 'twittelessseb', 'this', 'would', 'someone', 'primero', 'good', 'vettel', 'brutal', 'pasado', 'think', 'hungaroring', 'verstappen', 'fan', 'did', 'lograr', 'back', 'reglamento', 'than', 'f1xespn', 'lucha', 'sure', 'motor', 'segundo', 'ocon', 'quedar', 'called', 'usual', 'casi', 'deparar', 'matar', 'vuelto', 'año', 'lane', 'happy', 'csm', 'max', 'how', 'loco', '8vo', 'dos', 'después', 'that', 'was', 'temporada', 'denlar', 'limpio', '100', 'factual', 'musun', 'mejor', 'crying', 'talking', 'triste', 'fácil', 'broma', 'carrerón', 'checo', 'detener', 'because', 'ver', 'fucking', 'man', 'carrera', 'and', 'coronar', 'llorona', 'tremendo', 'afuera', 'heartbreaking', 'look', 'start', 'way', 'radio', 'def', 'increíble', 'about', 'batalla', 'ser', 'mundial', 'vuelta', 'poner', 'coming', 'vacaciones', 'tiempo', 'dio', 'vez', 'for', 'título', 'yes', 'victory', 'again', 'alonso', 'parte', 'aguantar', 'gracias', 'from', 'robot', 'claro', 'fia', 'didn', 'botta', 'campeonato', 'alpine', 'box', 'copa']"
28,HAPPY BIRTHDAY MARK,"['amar', 'you', 'mark', 'persona', 'continuar', 'markzen', 'hoy', 'buen', 'ser', 'happy', 'agradecer', 'salud', 'birthday', 'great', 'love', 'farito', 'talent', 'markie', 'adorar', 'desastre', 'leer', 'mejor', 'hope', 'feliz', 'time', 'luz', 'inspirar', 'orgulloso', 'have', 'never', 'lot', 'siempre', 'querer', 'happymarkday', 'cumpleaños', 'dear', 'apoyandolar', 'precioso', 'expresándomar', 'talentoso', 'solo', 'onyour23rdmark', 'change', 'futuro']"
29,JORGE DEL CASTILLO,"['siquiera', 'bellidonovo', 'nido', 'antero', 'apra', 'quesquén', 'buen', 'jorge', 'ser', 'historia', 'odio', 'fraude', 'mamar', 'aráoz', 'sheput', 'castillo', 'encabezar', 'aprista', 'merino', 'menos', 'oea', 'perú', 'criticar', 'ideal', 'ministro', 'traicionar', 'manifestar', 'bellidorenunciaya', 'villena', 'marcha', 'velásquez', 'flor', 'escudero', 'alan', 'manoseado', 'presidente', 'llamado', 'vida', 'terruqueo', 'mentira', 'bellido', 'garcir', 'frente', 'aljover', 'juan', 'pueblo', 'fujimorista', 'corrupto', 'torre', 'permitir', 'convertir', 'carrera', 'corrupción', 'vividor', 'canal', 'cayetana', 'ppc', 'pésimo', 'discurso', 'presentador', 'jajajajajajaajajajajajajajaaj', 'servir']"
30,JUAN SHEPUT,"['juerga', '…será', 'apologista', 'noticia', 'etcétera', 'mariateguista', 'cabanilla', 'mientras', 'antero', 'aquí', 'quesquén', 'ratooo', 'hombre', 'llegar', 'aráoz', 'sheput', 'ffaa', 'terrorismo', 'colectivo', 'criticar', 'ganar', 'total', 'foncode', 'cumplir', '.......', 'ministro', 'politixa', 'ahora', 'conelterrorismonosenegocia', 'ley', 'escanda', 'marcha', 'meche', 'flor', 'artículo', 'señalar', 'francke', 'gobernar', 'vida', 'mentira', 'hacer', 'juan', 'dar', 'fujimafioso', 'canal', 'vividor', 'preferir', 'cayetana', 'unificado', 'individuo', 'nivel', 'presentador', 'kis', 'profesinal', 'reintegrado', 'sindicato', 'recordar', 'señor', 'mercede', 'respetar', 'chata', 'defender', 'posible', 'bellidonovo', 'voto', 'tonto', 'dinamitar', 'buuuuuu', 'dejar', 'industrialización', 'buen', 'jorge', 'profesional', 'historia', '.....', 'rafael', 'opinión', 'encabezar', 'conducta', 'inscripción', 'menos', 'tocar', 'vacancia', 'perú', 'delito', 'vanesa', 'lar', 'provinciano', 'único', 'retiro', 'clase', 'salvo', 'hipócrita', 'velásquez', 'saber', 'cojudo', 'pum', 'decir', 'presidente', 'miedo', 'lograr', 'urbano', 'terrorista', 'sicario', 'demolido', 'ingenuo', 'aljover', 'willax', 'castro', 'fujimorista', 'visto', 'permitir', 'confianza', 'solo', 'mauricio', 'garan', 'blanco', 'brujo', 'constitucion', 'felicitar', 'nombrar', 'racista', 'alertar', 'estable', 'priorizar', 'partido', 'presidencial', 'vanessa', 'separar', 'cagda', 'ampayado', 'buuuu', 'apra', 'odio', 'verdad', 'xddd', 'breve', 'una.nadie', 'pretender', 'organismo', 'carta', 'control', 'militante', 'pareja', 'castillo', 'víctima', 'merino', 'mostrar', '6/11', 'jamás', 'dos', 'medida', 'oea', 'dicho', 'ampay', 'pedro', 'licencia', 'duro', 'después', 'letra', 'trabajar', 'derecho', 'cuestión', 'compinche', 'manifestar', 'amiguis', 'copamiento', 'creer', 'rondero', 'mediáticamente', 'servicio', 'villena', 'caer', 'plan', 'banda', 'mejor', 'muerto', 'atropello', 'grande', 'mes', 'eeuu', 'activo', 'maduro', 'terruqueo', 'cosa', 'bellido', 'japonés', 'frente', 'acosar', 'fortalecer', 'genial', 'nadie', 'cuello', 'gran', 'ver', 'hora', 'peligro', 'demoler', 'procurador', '......', 'necesitado', 'negociar', 'discurso', 'tremendo', 'terkes', 'sra', 'encontrar', 'jajajajajajaajajajajajajajaaj', 'siquiera', 'alva', 'mujer', 'jajaja', 'procedimiento', 'lastimar', 'improvisación', 'ser', 'mañana', 'fraude', 'llamar', 'ingreso', 'inteligente', 'gabinete', 'fuji', 'resultar', 'revelar', 'abierto', 'tiempo', 'caballero', 'oficial', 'reconocer', 'criminal', 'calabaza', 'aún', 'bellidorenunciaya', 'portero', 'tacho', 'salir', 'periodista', 'pra', 'asuuuuuuu', 'cabal', 'claro', 'manoseado', 'día', '7/11', 'buscar', 'arder', 'soltar', 'cerron', 'rey', 'punto', 'sometido', 'reclamar', 'mayoría', 'araoz', 'ppc', 'luis', 'fin', 'pésimo', 'ministerio', 'extranjero', 'imponer', 'dialogar', 'topo', 'futuro', 'servir']"
31,LAGOS,"['hecho', 'rodríguez', 'alemán', 'alientadesdecaso', 'concha', 'hoz', 'duda', 'firme', 'cusco', 'terruco', 'hoy', 'simon', 'movadef', 'pesar', 'luchadora', 'terrorismo', 'campo', 'dedo', 'inocente', 'premier', 'benítez', 'mérito', 'pájaro', 'hernán', 'ministro', 'ahora', 'ricardo', 'haber', 'poder', 'flor', 'luego', 'rendir', 'armar', 'momento', 'hacer', 'zapatón', 'edhit', 'reivindicado', 'dar', 'beneficio', 'fútbol', 'indefendible', 'líder', 'sanguinario', 'apología', 'pressing', 'barco', 'investigación', 'virgen', 'camarada', 'red', 'censurable', 'porqué', 'amanecer', 'recordar', 'lago', 'intentar', 'defender', 'aportar', 'buen', 'edit', 'profesional', 'colocado', 'pasar', 'saludo', 'sentenciado', 'aldair', 'pedir', 'liga1betssonxgolperu', 'mrta', 'sport', 'primero', 'vacancia', 'delito', 'depender', 'equipo', 'defensa', 'mora', 'sol', 'inicial', 'saber', 'abimael', 'decir', 'terrorista', 'traer', 'elegir', 'portal', 'través', 'nazi', 'jajajja', 'solo', 'promoción', 'guido', 'nombrar', 'peor', 'qaeda', 'lanzamiento', 'priorizar', 'pobre', 'partido', 'casi', 'matar', 'lima', 'combativo', 'tuco', 'gente', 'grito', 'pareja', 'dia', 'mal', 'aunque', 'miguez', 'meterse', 'jugársela', 'declaración', 'valleriestra', 'según', 'gringo', 'heroína', 'maria', 'tapar', 'once', 'ballón', 'preocupante', 'martillo', 'chileno', 'alan', 'tibio', 'defensor', 'acaso', 'camino', 'rojo', 'bellido', 'payaso', 'alianza', 'querer', 'social', 'maría', 'edith', 'ver', 'tiempoextrar', 'cada', 'gobierno', 'deslindar', 'apologia', 'emerretista', 'entrevista', 'equivocar', 'jajaja', 'pro', 'votar', 'gol', 'necesitar', 'boy', 'descuartizar', 'homenaje', 'senderista', 'ser', 'villanueva', 'abierto', 'dirigente', 'avanzar', 'luminoso', 'sendero', 'gracias', 'defensivo', 'tumba', 'indulto', 'polay', 'día', 'vía', 'generación', 'valenzuela', 'volante', 'milagro']"
32,LOURDES FLORES,"['gana', 'mujer', 'recordar', 'jajaja', 'aca', 'fidel', 'democracia', 'peruano', 'anticumunismo', 'chucha', 'poder', 'flor', 'lourde', 'saber', 'ptm', 'keiko', 'castro', 'dar', 'escuchar', 'ver', 'apoyar']"
33,MATZUDA,"['falta', 'partido', 'señor', 'rodríguez', 'retirar', 'lugar', 'alientadesdecaso', 'aportar', 'adelante', 'ser', 'ballon', 'poner', 'ataque', 'aldair', 'mostrar', 'quitar', 'probar', 'velocidad', 'mal', 'amigo', 'liga1betssonxgolperu', 'matzudar', 'jugado', 'jajajajaja', 'ahora', 'cuerpo', 'poder', 'pínto', 'rosa', 'contención', 'medio', 'ahí', 'hacer', 'deber', 'nadie', 'chibolo', 'titular', 'generación', 'mauricio', 'linea', 'distinto', 'encima', 'considerar', 'jugador', 'santo', 'valenzuela', 'desiquilibrante', 'busto', 'ingresar', 'ademir']"
34,MELGAR,"['candidato', 'cabeza', 'alientadesdecaso', 'tres', 'cristian', 'cusco', 'hoy', 'bernardo', 'marlon', 'dominar', 'balón', 'ganado', 'aplastar', 'miguel', '0-2', 'nuevo', 'deportivo', 'goleado', 'arequipeño', 'ahora', 'liquido', 'bordacahar', 'despeje', 'último', 'sumar', 'fecha', 'poder', 'compañero', 'movimiento', 'bernardocuesta', 'hacer', 'descuento', 'copadecampeón', 'ligafemenino', 'nombre', 'udh', 'ayacucho', 'líder', 'duelo', 'juliaca', 'cuadro', 'ruptura', 'rival', 'dejar', 'hat-trick', 'igualar', 'alguno', 'historia', 'pasar', 'clave', 'lile', 'consecutivo', 'binacional', 'estadio', 'liga1betssonxgolperu', 'primero', 'torneo', 'sportboy', 'césar', 'único', 'equipo', 'grau', 'pensar', 'liga1betsson', 'alma', '10:30hrs', 'rápido', 'psg', 'arequipa', 'lucir', 'liga1', 'arriba', 'segundo', 'quedar', '5-1', 'referencia', 'solo', 'delantero', 'registrar', 'ampliar', '13:15hrs', 'partido', 'romper', 'lugar', 'ventaja', 'mannucci', 'embargo', 'penal', 'medirlo', 'quinto', '0-3', 'regate', 'dos', 'así', 'cristal', 'san', 'temporada', '13:00hrs', 'trujillo', 'aparecer', 'dep', '100', 'apenas', 'monumento', 'martin', 'melgar', 'alianza', 'deber', 'estadístico', 'fbcm', 'fbc', 'atl', '0-0', 'largo', 'fabio', 'encontrar', 'asistencia', 'sudamericana', 'rojinegro', '15:30hrs', 'generar', 'jugada', 'gol', 'concreto', 'boy', 'pereyra', 'ser', 'costar', 'vallejo', 'poner', 'liga', 'inteligente', 'fase', 'escalar', 'vez', 'suelo', 'bajar', 'recoger', 'tercero', 'anotar', 'blanquiazul', 'clasificación', 'imparable', 'completado', '1-5', 'alianzalimo', 'sonqoliga1', 'jesús', 'punto', 'centro', 'futbolperuano', 'completo', '90+4', '0-4', '0-1', '11:00hrs', 'ojoaldato', 'argentino', 'bien', '130', 'superioridad', 'copa']"
35,MORA,"['oslimg', 'rodríguez', 'retirar', 'lugar', 'concha', 'alientadesdecaso', 'lima', 'edgar', 'arley', 'lago', 'boy', 'jairo', 'aldair', 'campo', 'liga1betssonxgolperu', 'benítez', 'primero', 'sport', 'miguez', 'hernán', 'ahora', 'mora', 'once', 'ballón', 'inicial', 'rojo', 'alianza', 'portal', 'amonestado', 'vía', 'valenzuela', 'ingresar', 'amarillo', 'barco', 'encontrar']"
36,NOVICK,"['preferir', 'novick']"
